"","Stop_ID","Stop_Name"
"246",20754,"Woodland Av & 66th St "
"247",20755,"Woodland Av & 67th St "
"248",20756,"Woodland Av & 68th St "
"249",20757,"Woodland Av & 69th St "
"250",20758,"Woodland Av & 70th St"
"251",20759,"Woodland Av & 71st St "
"252",20760,"Woodland Av & 72nd St "
"253",20761,"Main St & Front St "
"254",20762,"Main St & 2nd St "
"255",20763,"Main St & 3rd St "
"256",20764,"Main St & 4th St "
"257",20765,"Main St & 5th St "
"258",20766,"Main St & 6th St "
"259",20767,"Main St & Summit St "
"260",20768,"9th St & Ridge Av "
"261",20770,"9th St & Summit Av "
"262",20771,"9th St & Summit Av - MBFS"
"263",20772,"9th St & Cedar Av "
"264",20773,"Chester Av & Alfred Av "
"265",20774,"Chester Av & Allen Dr Yeadon Loop"
"266",20775,"Chester Av & Stetser Av "
"267",20776,"Chester Av & Duncan Av "
"268",20777,"Chester Av & Yeadon Av "
"269",20778,"Chester Av & Church Ln"
"270",20779,"Chester Av & 65th St"
"271",20780,"65th St & Cobbs Creek Pkwy "
"272",20781,"65th St & Belmar Av "
"273",20782,"65th St & Chester Av"
"274",20784,"Kingsessing Av & 61st St "
"275",20785,"Kingsessing Av & 62nd St "
"276",20786,"Kingsessing Av & 60th St "
"277",20787,"60th St & Chester Av "
"278",20788,"Chester Av & 59th St "
"279",20789,"Chester Av & 48th St "
"280",20790,"Chester Av & 47th St "
"281",20791,"Chester Av & 57th St "
"282",20792,"Chester Av & 56th St "
"283",20793,"Chester Av & 55th St "
"284",20794,"Chester Av & 54th St "
"285",20795,"Chester Av & 53rd St "
"286",20796,"Chester Av & 52nd St "
"287",20797,"Chester Av & 51st St "
"288",20799,"Chester Av & 46th St "
"289",20800,"Chester Av & 45th St "
"290",20801,"Chester Av & 43rd St "
"291",20802,"Chester Av & 42nd St "
"292",20803,"Chester Av & 41st St "
"293",20804,"40th St Trolley Portal"
"294",20805,"Woodland Av & Chester Av"
"295",20807,"Chester Av & 42nd St "
